ATTRIBUTES,DESCRIPTION,,,VALUES,
Image ID,Unique,identifier,,"12345, 67890",
,for each image in,,,,
,the dataset,,,,
File Name,Name of the image,,,"""image_01.jpg""",
,file,,,,
Width,Width of the image,,,"6,401,280",
,in pixels,,,,
Height,Height,of,the,"480,720",
,image in pixels,,,,
Bounding Box,Coordinates of the,,,"[x,y,","width,"
,object's,bounding,,height],
,box,,,,
Class ID,Identifier,for,the,"1: person, 2: car, 3:",
,object class,,,"dog, ...",
Category Name,Name of the object,,,"""person"",","""car"","
,class,,,"""dog"", ...",
Confidence,Confidence  score,,,0.0 to 1.0,
,for   the,detected,,,
,object,,,,
