,Class No.,Class Name,No. of Images
,1,Person,"64,115"
,,,
,2,Car,"4,943"
,,,
,3,Chair,"31,307"
,,,
,4,Book,"9,700"
,,,
,5,Bottle,"5,438"
,,,
,6,Cup,"5,016"
,,,
,7,Dining table,"10,491"
,,,
,8,Traffic Light,"1,452"
,,,
,9,Bowl,"5,022"
,,,
,10,Handbag,"3,962"
,,,
,11,Bird,"6,197"
,,,
,12,Boat,"6,099"
,,,
,,,
,,,
,13,Truck,"4,828"
,,,
,14,Bench,3998
,,,
,15,Umbrella,"4,446"
,,,
,16,Cow,"2,639"
,,,
,17,Backpack,"3,810"
,,,
,18,Banana,"2,135"
,,,
,19,Motorbike,"4,371"
,,,
,20,Carrot,"2,225"
,,,
,21,Sheep,"2,580"
,,,
,22,Potted Plant,"4,980"
,,,
,23,Wine glass,"2,191"
,,,
,24,Donut,"2,204"
,,,
,25,Kite,"2,291"
,,,
,26,Knife,"2,132"
,,,
,27,Bicycle,"5,977"
,,,
,28,Broccoli,"2,402"
,,,
,29,Cake,"2,347"
,,,
,30,Suitcase,"2,525"
,,,
,31,Tv Monitor,"5,170"
,,,
,32,Orange,"2,169"
,,,
,33,Pizza,"3,429"
,,,
,34,Bus,"6,242"
,,,
,35,Remote,"2,797"
,,,
,36,Vase,"2,108"
,,,
,37,Horse,3.027
,,,
,38,Clock,"4,662"
,,,
,39,Surfboard,"2,039"
,,,
,40,Zebra,"2,126"
,,,
,41,Cellphone,"4,633"
,,,
,42,Couch,"5,830"
,,,
,43,Sports ball,"3,552"
,,,
,44,Spoon,"2,127"
,,,
,45,Elephant,"2,222"
,,,
,46,Tie,"1,359"
,,,
,47,Skis,"1,512"
,,,
,48,Apple,"1,855"
,,,
,49,Giraffe,"1,981"
,,,
,50,Laptop,"4,270"
,,,
,51,Sink,"5,464"
,,,
,52,Tennis Racket,"1,841"
,,,
,53,Dog,"4,660"
,,,
,54,Fork,"1,921"
,,,
,55,Cat,"3,370"
,,,
,56,Teddy Bear,"2,347"
,,,
,57,Train,"3,191"
,,,
,58,Skateboard,"2,290"
,,,
,59,Toilet,"3,834"
,,,
,60,Sandwich,"2,394"
,,,
,61,Bed,"4,157"
,,,
,62,Keyboard,"1,988"
,,,
,63,Baseball glove,"1,617"
,,,
,64,Baseball bat,"1,860"
,,,
,65,Aeroplane,"4,642"
,,,
,66,Oven,"2,474"
,,,
,67,Refrigerator,"2,938"
,,,
,68,Hot dog,"1,966"
,,,
,69,Frisbee,"1,879"
,,,
,70,Mouse,"1,746"
,,,
,71,Fire Hydrant,"1,436"
,,,
,72,Stop Sign,"1,574"
,,,
,73,Bear,"1,725"
,,,
,74,Snowboard,"1,679"
,,,
,75,Parking Meter,"1,561"
,,,
,76,Toothbrush,"1,231"
,,,
,,,
,,,
,,,
,77,Microwave,"2,192"
,,,
,78,Scissors,"1,301"
,,,
,79,Hair Drier,"1,021"
,,,
,80,Toaster,919
,,,
,Total,,"346,151"
